"",id,score,sponsored,jd.job_type.name,jd.job_type.id,jd.end_at_factor,jd.end_at,jd.level2_occupations,jd.cities,jd.use_jobplanet_resume,jd.experience_years,jd.created_at,jd.recruitment_types,jd.title,jd.start_at,jd.education_level_id,jd.url,jd.required_skills,jd.open_at,jd.partial_url,company.industry_id,company.review_score,company.name,company.approved_reviews_cache,company.pref_score.worklife,company.pref_score.advancement,company.pref_score.management,company.pref_score.culture,company.pref_score.compensation,company.id,company.url,company.logo_thumb_url,company.pref_text,company.omni_text,track.logger,track.id,track.company_id,track.list_id,track.listed_by,track.listed_on,track.page,track.pos,track.group_pos,track.ab_test,track.ssid,track.srid,track.q,track.pref,track.entered_posting_ids,track.controller_name,track.action_name,track.element_name,company.review_score_with_survey,company.pref_score.compensation_with_survey,company.pref_score.management_with_survey,company.pref_score.worklife_with_survey,company.pref_score.advancement_with_survey,company.pref_score.culture_with_survey
0,1263151,18.193499,False,정규직,3,2024-04-01T23:59:00.000+09:00,2024-04-01T23:59:00.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,0,2024-01-02T10:18:42.000+09:00,"[{'name': '경력무관', 'id': 4}]",Data Scientist,2024-01-02T09:00:00.000+09:00,9.0,/companies/318620/job_postings/1263151/data-scientist/%EC%97%90%EC%9D%B4%EB%B9%84%EC%9D%BC%ED%8C%94%EA%B3%B5?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}, {'name': 'Tensorflow', 'id': 17711}, {'name': 'Pytorch', 'id': 40036}, {'name': 'scikit-learn', 'id': 146223}]",2024-01-02T09:00:00.000+09:00,/companies/318620/job_postings/1263151/data-scientist/%EC%97%90%EC%9D%B4%EB%B9%84%EC%9D%BC%ED%8C%94%EA%B3%B5?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,4.2,(주)에이비일팔공,45,3.60,4.17,4.00,4.31,3.48,318620,/companies/318620,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/318620/thumb_AB180-logo-RGB-white-2.png,사내문화 : 4.3,None,job/event/___event____job_posting,1263151,318620,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,1,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
1,1266158,17.568310,False,정규직,3,2024-05-05T23:59:00.000+09:00,2024-05-05T23:59:00.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,3,2024-02-05T16:35:35.000+09:00,"[{'name': '경력', 'id': 2}]",Data Scientist (AI Product팀),2024-02-05T09:00:00.000+09:00,9.0,/companies/86783/job_postings/1266158/data-scientist-ai-product%ED%8C%80/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'aws', 'id': 533}, {'name': '딥러닝', 'id': 7188}, {'name': 'gcp', 'id': 12840}, {'name': 'Tensorflow', 'id': 17711}, {'name': 'Pytorch', 'id': 40036}]",2024-02-05T09:00:00.000+09:00,/companies/86783/job_postings/1266158/data-scientist-ai-product%ED%8C%80/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.7,잡플래닛,115,3.86,3.10,3.23,3.50,3.06,86783,/companies/86783,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/86783/thumb_thumb_jp_symbol3.png,업무와 삶의 균형 : 4.2,None,job/event/___event____job_posting,1266158,86783,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,2,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",3.70,3.33,3.57,4.15,3.32,3.73
2,1265009,17.412100,False,정규직,3,2024-04-21T23:59:00.000+09:00,2024-04-21T23:59:00.000+09:00,"[{'name': 'BI 엔지니어', 'id': 11917}, {'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '경기', 'id': 2}]",True,0,2024-01-22T13:12:22.000+09:00,"[{'name': '경력무관', 'id': 4}]",Data Scientist (경력 3년~),2024-01-22T09:00:00.000+09:00,9.0,/companies/402401/job_postings/1265009/data-scientist-%EA%B2%BD%EB%A0%A5-3%EB%85%84/%ED%95%9C%EA%B5%AD%EA%B7%B8%EB%A6%B0%EB%8D%B0%EC%9D%B4%ED%84%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}, {'name': '머신러닝', 'id': 1594}, {'name': '데이터 분석', 'id': 1646}, {'name': '파이썬', 'id': 7038}, {'name': '딥러닝', 'id': 7188}, {'name': 'Tensorflow', 'id': 17711}, {'name': 'Pytorch', 'id': 40036}]",2024-01-22T09:00:00.000+09:00,/companies/402401/job_postings/1265009/data-scientist-%EA%B2%BD%EB%A0%A5-3%EB%85%84/%ED%95%9C%EA%B5%AD%EA%B7%B8%EB%A6%B0%EB%8D%B0%EC%9D%B4%ED%84%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.5,(주)한국그린데이터,4,4.75,3.75,3.75,3.75,4.25,402401,/companies/402401,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/402401/thumb_%EB%A1%9C%EA%B3%A0.png,업무와 삶의 균형 : 4.8,None,job/event/___event____job_posting,1265009,402401,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,3,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
3,1265417,16.582916,False,정규직,3,2024-04-24T23:59:00.000+09:00,2024-04-24T23:59:00.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}, {'name': '데이터 엔지니어', 'id': 11913}, {'name': '머신러닝 엔지니어', 'id': 11915}]","[{'name': '서울', 'id': 1}]",True,2,2024-01-25T15:51:07.000+09:00,"[{'name': '경력', 'id': 2}]",Data Scientist,2024-01-25T09:00:00.000+09:00,9.0,/companies/89394/job_postings/1265417/data-scientist/%EB%B2%88%EA%B0%9C%EC%9E%A5%ED%84%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': 'python', 'id': 531}, {'name': 'aws', 'id': 533}, {'name': 'SQL', 'id': 658}, {'name': '머신러닝', 'id': 1594}, {'name': '파이썬', 'id': 7038}, {'name': '딥러닝', 'id': 7188}]",2024-01-25T09:00:00.000+09:00,/companies/89394/job_postings/1265417/data-scientist/%EB%B2%88%EA%B0%9C%EC%9E%A5%ED%84%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.5,번개장터(주),153,3.86,3.22,3.00,3.50,2.95,89394,/companies/89394,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/89394/thumb_%E1%84%85%E1%85%A9%E1%84%80%E1%85%A9_100_100_.png,업무와 삶의 균형 : 3.9,None,job/event/___event____job_posting,1265417,89394,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,4,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
4,1262056,15.171893,False,정규직,3,2024-03-07T23:59:00.000+09:00,2024-03-07T23:59:00.000+09:00,"[{'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,2,2023-12-08T13:02:52.000+09:00,"[{'name': '경력', 'id': 2}]",봄툰 데이터 분석가 (경력),2023-12-08T09:00:00.000+09:00,5.0,/companies/331640/job_postings/1262056/%EB%B4%84%ED%88%B0-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80-%EA%B2%BD%EB%A0%A5/%ED%82%A4%EB%8B%A4%EB%A6%AC%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}]",2023-12-08T09:00:00.000+09:00,/companies/331640/job_postings/1262056/%EB%B4%84%ED%88%B0-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80-%EA%B2%BD%EB%A0%A5/%ED%82%A4%EB%8B%A4%EB%A6%AC%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.1,(주)키다리스튜디오,103,3.31,2.71,2.49,2.98,3.27,331640,/companies/331640,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/331640/thumb_%EB%A1%9C%EA%B3%A0%ED%86%B5%ED%95%A9_6.png,업무와 삶의 균형 : 3.3,None,job/event/___event____job_posting,1262056,331640,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,5,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
5,1265543,14.364478,False,정규직,3,2024-05-14T23:59:00.000+09:00,2024-05-14T23:59:00.000+09:00,"[{'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '경기', 'id': 2}]",True,2,2024-01-26T13:25:40.000+09:00,"[{'name': '경력', 'id': 2}]",데이터사이언티스트 (경력 2년),2024-02-01T09:00:00.000+09:00,3.0,/companies/346224/job_postings/1265543/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-%EA%B2%BD%EB%A0%A5-2%EB%85%84/%EB%B9%84%EB%AA%A8%EC%86%8C%ED%94%84%ED%8A%B8?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '마케팅', 'id': 49}, {'name': '시장조사', 'id': 450}, {'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': '머신러닝', 'id': 1594}]",2024-02-01T09:00:00.000+09:00,/companies/346224/job_postings/1265543/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-%EA%B2%BD%EB%A0%A5-2%EB%85%84/%EB%B9%84%EB%AA%A8%EC%86%8C%ED%94%84%ED%8A%B8?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,2.7,(주)비모소프트,23,3.69,2.39,2.43,3.08,3.34,346224,/companies/346224,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/346224/thumb_vimosoft%20logotype_%ED%94%84%EB%A1%9C%ED%95%84%EC%9A%A9.png,업무와 삶의 균형 : 3.7,None,job/event/___event____job_posting,1265543,346224,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,6,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
6,1264206,13.926029,False,정규직,3,2024-04-29T15:00:00.000+09:00,2024-04-29T15:00:00.000+09:00,"[{'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 사이언티스트', 'id': 11914}, {'name': 'BI 엔지니어', 'id': 11917}]","[{'name': '서울', 'id': 1}]",True,4,2024-01-12T17:42:37.000+09:00,"[{'name': '경력', 'id': 2}]",Product Data Analyst,2024-01-12T09:00:00.000+09:00,3.0,/companies/323579/job_postings/1264206/product-data-analyst/%EB%B8%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%EB%AA%A8%EB%B0%94%EC%9D%BC?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}, {'name': '파이썬', 'id': 7038}, {'name': 'Tableau', 'id': 16548}]",2024-01-12T09:00:00.000+09:00,/companies/323579/job_postings/1264206/product-data-analyst/%EB%B8%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%EB%AA%A8%EB%B0%94%EC%9D%BC?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.6,(주)브레이브모바일,115,3.75,3.31,2.96,3.69,3.34,323579,/companies/323579,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/323579/thumb_soomgo%20LOGO-01%20_1_.png,업무와 삶의 균형 : 3.8,None,job/event/___event____job_posting,1264206,323579,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,7,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
7,1259038,13.872263,False,정규직,3,2024-03-30T23:59:59.000+09:00,2024-03-30T23:59:59.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,3,2023-10-25T11:45:31.000+09:00,"[{'name': '경력', 'id': 2}]",Data Scientist(검색/추천 담당),2023-10-25T09:00:00.000+09:00,9.0,/companies/86783/job_postings/1259038/data-scientist%EA%B2%80%EC%83%89%EC%B6%94%EC%B2%9C-%EB%8B%B4%EB%8B%B9/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'aws', 'id': 533}, {'name': 'elasticsearch', 'id': 6729}, {'name': 'Deep Learning', 'id': 8807}, {'name': 'gcp', 'id': 12840}, {'name': '검색', 'id': 13206}, {'name': 'NLP', 'id': 15229}, {'name': 'Tensorflow', 'id': 17711}, {'name': 'Pytorch', 'id': 40036}, {'name': '추천', 'id': 47392}, {'name': 'data science', 'id': 67092}]",2023-10-25T09:00:00.000+09:00,/companies/86783/job_postings/1259038/data-scientist%EA%B2%80%EC%83%89%EC%B6%94%EC%B2%9C-%EB%8B%B4%EB%8B%B9/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.7,잡플래닛,115,3.86,3.10,3.23,3.50,3.06,86783,/companies/86783,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/86783/thumb_thumb_jp_symbol3.png,업무와 삶의 균형 : 4.2,None,job/event/___event____job_posting,1259038,86783,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,8,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",3.70,3.33,3.57,4.15,3.32,3.73
8,1259912,13.714036,False,정규직,3,2024-04-14T23:59:00.000+09:00,2024-04-14T23:59:00.000+09:00,"[{'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 사이언티스트', 'id': 11914}, {'name': '빅데이터 엔지니어', 'id': 11916}]","[{'name': '서울', 'id': 1}]",True,5,2023-11-08T10:27:20.000+09:00,"[{'name': '경력', 'id': 2}]",Senior Data Scientist - Growth Analytics,2024-01-15T09:00:00.000+09:00,7.0,/companies/367010/job_postings/1259912/senior-data-scientist---growth-analytics/%EB%AA%B0%EB%A1%9C%EC%BD%94?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}, {'name': '파이썬', 'id': 7038}]",2024-01-15T09:00:00.000+09:00,/companies/367010/job_postings/1259912/senior-data-scientist---growth-analytics/%EB%AA%B0%EB%A1%9C%EC%BD%94?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,4.4,(주)몰로코,11,3.63,3.90,4.09,3.90,4.27,367010,/companies/367010,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/367010/thumb_Square%20Logo.png,복지 및 급여 : 4.3,None,job/event/___event____job_posting,1259912,367010,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,9,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
9,1246253,13.552340,False,정규직,3,2024-04-12T23:59:59.000+09:00,2024-04-12T23:59:59.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,3,2023-04-17T18:03:54.000+09:00,"[{'name': '경력', 'id': 2}]",데이터사이언티스트 [100억↑투자],2023-04-17T09:00:00.000+09:00,NaN,/companies/59159/job_postings/1246253/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-100%EC%96%B5%ED%88%AC%EC%9E%90/%ED%95%B4%EC%A4%8C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': '데이터분석', 'id': 432}, {'name': '머신러닝', 'id': 1594}, {'name': '신재생에너지', 'id': 4877}, {'name': '파이썬', 'id': 7038}, {'name': '태양광', 'id': 8261}]",2023-04-17T09:00:00.000+09:00,/companies/59159/job_postings/1246253/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-100%EC%96%B5%ED%88%AC%EC%9E%90/%ED%95%B4%EC%A4%8C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.3,(주)해줌,54,3.98,2.88,2.85,3.62,3.05,59159,/companies/59159,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/59159/thumb_%ED%95%B4%EC%A4%8C%EB%A1%9C%EA%B3%A0_%EC%98%A4%EB%A0%8C%EC%A7%80_640X640.jpg,업무와 삶의 균형 : 4.0,None,job/event/___event____job_posting,1246253,59159,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,10,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
10,1263499,12.539699,False,정규직,3,2024-04-04T23:59:00.000+09:00,2024-04-04T23:59:00.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,2,2024-01-05T16:58:49.000+09:00,"[{'name': '경력', 'id': 2}]",데이터 사이언티스트 [ML팀],2024-01-05T09:00:00.000+09:00,5.0,/companies/411990/job_postings/1263499/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-ml%ED%8C%80/%ED%95%98%EC%9D%B4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'python', 'id': 531}, {'name': 'aws', 'id': 533}, {'name': '머신러닝', 'id': 1594}, {'name': 'JIRA', 'id': 1789}, {'name': 'restful api', 'id': 38449}, {'name': 'firebase', 'id': 60596}, {'name': 'github', 'id': 69615}]",2024-01-05T09:00:00.000+09:00,/companies/411990/job_postings/1263499/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8-ml%ED%8C%80/%ED%95%98%EC%9D%B4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.9,(주)하이,12,3.00,2.00,3.00,4.00,2.00,411990,/companies/411990,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/411990/thumb_%ED%95%98%EC%9D%B4%20%EB%A1%9C%EA%B3%A0%20%EB%A6%AC%EB%89%B4%EC%96%BC%20%EB%B2%84%EC%A0%84_%EC%8B%AC%EB%B3%BC.png,사내문화 : 4.1,None,job/event/___event____job_posting,1263499,411990,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,11,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",3.92,3.17,3.50,3.67,3.33,4.08
11,1266372,12.405849,False,정규직,3,2024-02-29T23:59:00.000+09:00,2024-02-29T23:59:00.000+09:00,"[{'name': '머신러닝 엔지니어', 'id': 11915}]","[{'name': '서울', 'id': 1}]",True,3,2024-02-08T13:45:01.000+09:00,"[{'name': '경력', 'id': 2}]",Machine Learning Engineer (ITS팀),2024-02-08T09:00:00.000+09:00,7.0,/companies/333400/job_postings/1266372/machine-learning-engineer-its%ED%8C%80/%EB%85%B8%ED%83%80?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'AI', 'id': 417}, {'name': '머신러닝', 'id': 1594}, {'name': 'machine learning', 'id': 4999}, {'name': 'Deep Learning', 'id': 8807}, {'name': 'Tensorflow', 'id': 17711}, {'name': 'Pytorch', 'id': 40036}]",2024-02-08T09:00:00.000+09:00,/companies/333400/job_postings/1266372/machine-learning-engineer-its%ED%8C%80/%EB%85%B8%ED%83%80?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,4.6,(주)노타,15,4.26,4.20,4.53,5.00,4.60,333400,/companies/333400,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/333400/thumb_Untitled1.png,사내문화 : 5.0,None,job/event/___event____job_posting,1266372,333400,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,12,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
12,1264859,11.966794,False,정규직,3,2024-05-07T23:59:00.000+09:00,2024-05-07T23:59:00.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,7,2024-01-19T10:47:06.000+09:00,"[{'name': '경력', 'id': 2}]",데이터 사이언티스트,2024-02-07T09:00:00.000+09:00,5.0,/companies/312220/job_postings/1264859/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8/%ED%95%80%EB%8B%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'CSS', 'id': 420}, {'name': '데이터분석', 'id': 432}, {'name': 'hadoop', 'id': 1593}, {'name': 'Spark', 'id': 5049}, {'name': '데이터모델링', 'id': 5675}, {'name': 'FDS', 'id': 32964}]",2024-02-07T09:00:00.000+09:00,/companies/312220/job_postings/1264859/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8/%ED%95%80%EB%8B%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,3.7,핀다,39,3.71,3.51,3.38,3.48,3.25,312220,/companies/312220,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/312220/thumb_%EB%A1%9C%EA%B3%A0-%EC%BB%AC%EB%9F%AC-%EA%B0%80%EC%9D%B4%EB%93%9C_0713.png,업무와 삶의 균형 : 3.7,None,job/event/___event____job_posting,1264859,312220,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,13,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
13,1263717,11.874383,False,정규직,3,2024-04-08T23:59:00.000+09:00,2024-04-08T23:59:00.000+09:00,"[{'name': '데이터 분석가', 'id': 11613}, {'name': '데이터 엔지니어', 'id': 11913}, {'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,2,2024-01-09T20:06:41.000+09:00,"[{'name': '경력', 'id': 2}]",Tableau 시각화 개발자,2024-01-09T09:00:00.000+09:00,9.0,/companies/90944/job_postings/1263717/tableau-%EC%8B%9C%EA%B0%81%ED%99%94-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%BD%98%EC%84%BC%ED%8A%B8%EB%A6%AD%EC%8A%A4%EC%84%9C%EB%B9%84%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'python', 'id': 531}, {'name': 'SQL', 'id': 658}, {'name': 'R', 'id': 751}, {'name': 'etl', 'id': 1556}, {'name': 'Tableau', 'id': 16548}, {'name': '데이터 시각화', 'id': 16565}, {'name': 'POWER BI', 'id': 112579}]",2024-01-09T09:00:00.000+09:00,/companies/90944/job_postings/1263717/tableau-%EC%8B%9C%EA%B0%81%ED%99%94-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%BD%98%EC%84%BC%ED%8A%B8%EB%A6%AD%EC%8A%A4%EC%84%9C%EB%B9%84%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,2.5,콘센트릭스서비스코리아(유),711,2.76,2.62,2.06,2.56,2.30,90944,/companies/90944,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/90944/thumb_logo.png,업무와 삶의 균형 : 2.8,None,job/event/___event____job_posting,1263717,90944,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,14,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
14,1248524,11.843001,False,정규직,3,2024-02-21T23:59:59.000+09:00,2024-02-21T23:59:59.000+09:00,"[{'name': '데이터 사이언티스트', 'id': 11914}]","[{'name': '서울', 'id': 1}]",True,5,2023-05-23T15:49:59.000+09:00,"[{'name': '경력', 'id': 2}]",데이터사이언티스트,2023-05-23T09:00:00.000+09:00,7.0,/companies/379217/job_postings/1248524/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8/%EC%B9%B4%EB%B9%84?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"[{'name': 'python', 'id': 531}, {'name': 'R', 'id': 751}, {'name': '파이썬', 'id': 7038}, {'name': '데이터사이언티스트', 'id': 46849}]",2023-05-23T09:00:00.000+09:00,/companies/379217/job_postings/1248524/%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8/%EC%B9%B4%EB%B9%84?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result&partial=true,700,2.8,(주)카비,17,2.76,3.00,2.35,2.41,2.52,379217,/companies/379217,https://jpassets.jobplanet.co.kr/production/uploads/company/logo/379217/thumb_%EC%B9%B4%EB%B9%84%EB%A1%9C%EA%B3%A0.png,승진 기회 및 가능성 : 3.0,None,job/event/___event____job_posting,1248524,379217,lid_20240214T162204.185_6isa1squzw,job_postings_repo_search_by,search_result,1,15,1,a,"",srid20240214T162203.919_4ql1k293m7,"","","","","","",NaN,NaN,NaN,NaN,NaN,NaN
